prompt,negative prompt,s3 key,width,height
"A Snapchat selfie taken on an iPhone 14 of a hiker at the summit of Pikes Peak. The panoramic view behind him stretches across the Colorado landscape, his expression one of triumph and awe, bathed in the early morning light. ","innapropriate, deformed, wrong, ugly, glasses, sunglasses",generated-images/outdoors/000.png,1024,1366
"A Snapchat selfie taken on an iPhone 14 of a hiker at the summit of Pikes Peak. The panoramic view behind him stretches across the Colorado landscape, his expression one of triumph and awe, bathed in the early morning light. ","innapropriate, deformed, wrong, ugly, glasses, sunglasses",generated-images/outdoors/001.png,1024,1366
"A Snapchat selfie taken on an iPhone 14 of a hiker at the summit of Pikes Peak. The panoramic view behind him stretches across the Colorado landscape, his expression one of triumph and awe, bathed in the early morning light. ","innapropriate, deformed, wrong, ugly, glasses, sunglasses",generated-images/outdoors/002.png,1024,1366
"A Snapchat selfie taken on an iPhone 14 of a hiker at the summit of Pikes Peak. The panoramic view behind him stretches across the Colorado landscape, his expression one of triumph and awe, bathed in the early morning light. ","innapropriate, deformed, wrong, ugly, glasses, sunglasses",generated-images/outdoors/003.png,1024,1366
"A Snapchat selfie taken on an iPhone 14 of a hiker at the summit of Pikes Peak. The panoramic view behind him stretches across the Colorado landscape, his expression one of triumph and awe, bathed in the early morning light. ","innapropriate, deformed, wrong, ugly, glasses, sunglasses",generated-images/outdoors/004.png,1024,1366
"A Snapchat selfie taken on an iPhone 14 of a hiker at the summit of Pikes Peak. The panoramic view behind him stretches across the Colorado landscape, his expression one of triumph and awe, bathed in the early morning light. ","innapropriate, deformed, wrong, ugly, glasses, sunglasses",generated-images/outdoors/005.png,1024,1366
"A Snapchat selfie taken on an iPhone 14 of a hiker at the summit of Pikes Peak. The panoramic view behind him stretches across the Colorado landscape, his expression one of triumph and awe, bathed in the early morning light. ","innapropriate, deformed, wrong, ugly, glasses, sunglasses",generated-images/outdoors/006.png,1024,1366
"A Snapchat selfie taken on an iPhone 14 of a hiker at the summit of Pikes Peak. The panoramic view behind him stretches across the Colorado landscape, his expression one of triumph and awe, bathed in the early morning light. ","innapropriate, deformed, wrong, ugly, glasses, sunglasses",generated-images/outdoors/007.png,1024,1366
"A Snapchat selfie taken on an iPhone 14 of a hiker at the summit of Pikes Peak. The panoramic view behind him stretches across the Colorado landscape, his expression one of triumph and awe, bathed in the early morning light. ","innapropriate, deformed, wrong, ugly, glasses, sunglasses",generated-images/outdoors/008.png,1024,1366
"A Snapchat selfie taken on an iPhone 14 of a hiker at the summit of Pikes Peak. The panoramic view behind him stretches across the Colorado landscape, his expression one of triumph and awe, bathed in the early morning light. ","innapropriate, deformed, wrong, ugly, glasses, sunglasses",generated-images/outdoors/009.png,1024,1366
"A Snapchat selfie taken on an iPhone 14 of a hiker at the summit of Pikes Peak. The panoramic view behind him stretches across the Colorado landscape, his expression one of triumph and awe, bathed in the early morning light. ","innapropriate, deformed, wrong, ugly, glasses, sunglasses",generated-images/outdoors/010.png,1024,1366
"A Snapchat selfie taken on an iPhone 14 of a hiker at the summit of Pikes Peak. The panoramic view behind him stretches across the Colorado landscape, his expression one of triumph and awe, bathed in the early morning light. ","innapropriate, deformed, wrong, ugly, glasses, sunglasses",generated-images/outdoors/011.png,1024,1366